%time,field.name0,field.name1,field.pose0.position.x,field.pose0.position.y,field.pose0.position.z,field.pose0.orientation.x,field.pose0.orientation.y,field.pose0.orientation.z,field.pose0.orientation.w,field.pose1.position.x,field.pose1.position.y,field.pose1.position.z,field.pose1.orientation.x,field.pose1.orientation.y,field.pose1.orientation.z,field.pose1.orientation.w,field.twist0.linear.x,field.twist0.linear.y,field.twist0.linear.z,field.twist0.angular.x,field.twist0.angular.y,field.twist0.angular.z,field.twist1.linear.x,field.twist1.linear.y,field.twist1.linear.z,field.twist1.angular.x,field.twist1.angular.y,field.twist1.angular.z
3673000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.95882762735e-12,3.87407467217e-12,0.00500000000638,3.85366382187e-13,-2.40010561492e-11,1.29592266979e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58368028007e-11,-5.25406692419e-11,8.68167352198e-12,-8.22345634587e-11,-3.66951621533e-10,1.30821964922e-10
3674000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.83267853618e-12,4.02710503833e-12,0.00500000000621,4.61855022654e-13,-2.34237987728e-11,1.27707276338e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.18696600557e-11,1.49198123917e-11,-5.42952635043e-11,-7.9467600649e-12,1.37794721469e-10,-3.56182864264e-11
3675000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.92113555567e-12,3.92587351516e-12,0.00500000000632,4.10960659512e-13,-2.38123365083e-11,1.28966638778e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20582458087e-10,-1.39561107001e-10,9.46996168965e-11,-1.75054105904e-10,-1.02221835418e-09,3.45374958756e-10
3676000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.90956148064e-12,3.94259624947e-12,0.0050000000063,4.18761889108e-13,-2.37519340474e-11,1.28767238585e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5170026964e-11,-6.34249416613e-11,2.06516916467e-11,-9.3045444621e-11,-4.49910716461e-10,1.57634286547e-10
3677000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.88882806565e-12,3.97026855836e-12,0.00500000000627,4.32478516225e-13,-2.36504727225e-11,1.28432295447e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71448080699e-11,-5.40870311476e-11,1.28406332761e-11,-8.21967464537e-11,-3.80714394578e-10,1.34601797158e-10
3678000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.77622369538e-12,4.10727701849e-12,0.00500000000612,4.98593573408e-13,-2.31311772341e-11,1.26745687146e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76547226228e-12,-4.6391906362e-12,-3.22664628128e-11,-2.70944940832e-11,-1.1481811909e-11,1.26439018647e-11
3679000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.85579893067e-12,4.01618321932e-12,0.00500000000622,4.52541295599e-13,-2.34801580961e-11,1.27877216789e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31666113321e-10,-1.52488723056e-10,1.11488706609e-10,-1.86329828274e-10,-1.12268899581e-09,3.77215194415e-10
3680000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.84669510187e-12,4.03004019045e-12,0.00500000000619,4.5734957174e-13,-2.34287088336e-11,1.27713345428e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89355914421e-11,-7.94802815444e-11,4.07849646927e-11,-1.07490569254e-10,-5.74114688026e-10,1.97179823298e-10
3681000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.82782131045e-12,4.05550593108e-12,0.00500000000616,4.6866147622e-13,-2.33340582249e-11,1.27405885827e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01933014708e-11,-6.93191492443e-11,3.31455724803e-11,-9.51626797989e-11,-4.99429047407e-10,1.72104355978e-10
3682000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.72853961647e-12,4.17665207975e-12,0.00500000000602,5.25583494319e-13,-2.28733549189e-11,1.25915322114e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8486861816e-11,-2.07539827398e-11,-1.03533912758e-11,-4.0548185447e-11,-1.37300771843e-10,5.23500797064e-11
3683000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7987334672e-12,4.0964592829e-12,0.0050000000061,4.84237429838e-13,-2.31799378434e-11,1.26912450461e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38150656151e-10,-1.60076338245e-10,1.25801807896e-10,-1.90196257141e-10,-1.18504128655e-09,3.95870776281e-10
3684000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.79187784002e-12,4.10770722992e-12,0.00500000000608,4.86962610297e-13,-2.31374478025e-11,1.26780948519e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.90538480509e-11,-9.13009244834e-11,5.98799983041e-11,-1.15502128651e-10,-6.68791569434e-10,2.26268463053e-10
3685000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.77569633944e-12,4.12991169041e-12,0.00500000000605,4.95848156196e-13,-2.30540906294e-11,1.26513596998e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01263707235e-11,-8.09261217957e-11,5.24873009536e-11,-1.02678109402e-10,-5.92822454893e-10,2.00663726998e-10
3686000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.69020916654e-12,4.23456408827e-12,0.00500000000593,5.44063061094e-13,-2.26553626368e-11,1.25226825715e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9670854189e-11,-3.3846459841e-11,1.0804284498e-11,-4.94340697702e-11,-2.42067834789e-10,8.45528770651e-11
3687000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.75246492265e-12,4.16379430934e-12,0.005000000006,5.06918058933e-13,-2.29255903447e-11,1.26108133579e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41131559963e-10,-1.63591932109e-10,1.37815804506e-10,-1.88678555151e-10,-1.21801637206e-09,4.04477850511e-10
3688000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.74849587534e-12,4.17143403153e-12,0.00500000000598,5.07447720841e-13,-2.28961950635e-11,1.26020959284e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58712528342e-11,-9.92858233482e-11,7.66812209975e-11,-1.18521256122e-10,-7.35690099023e-10,2.4589084508e-10
3689000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.73592259958e-12,4.18939882785e-12,0.00500000000595,5.13731828846e-13,-2.28284017512e-11,1.25806263438e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6680762397e-11,-8.86053669963e-11,6.91570649848e-11,-1.05269134285e-10,-6.57545603593e-10,2.1953190021e-10
3690000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.66361932511e-12,4.27834156991e-12,0.00500000000585,5.54177742261e-13,-2.24893117483e-11,1.24713457467e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74559444343e-11,-4.29662701615e-11,2.90092626383e-11,-5.35011824356e-11,-3.17685485192e-10,1.06965073474e-10
3691000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.71926925421e-12,4.21525314653e-12,0.00500000000591,5.20452990911e-13,-2.27298576694e-11,1.25500255622e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4049289252e-10,-1.62897740229e-10,1.46329984067e-10,-1.8228023981e-10,-1.21975862302e-09,4.02700292859e-10
3692000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.71865863155e-12,4.2189307603e-12,0.00500000000589,5.18761096543e-13,-2.27152042934e-11,1.25462105774e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89120404602e-11,-1.0287639894e-10,8.97060593135e-11,-1.16526424984e-10,-7.69899655806e-10,2.5467598817e-10
3693000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.65412691824e-12,4.29866559015e-12,0.0050000000058,5.54952222194e-13,-2.24115304681e-11,1.24483225549e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95839674725e-11,-4.54834754329e-11,3.85803495121e-11,-5.18172512015e-11,-3.42013481839e-10,1.13119246773e-10
3694000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.70508615507e-12,4.24104501517e-12,0.00500000000585,5.23875529581e-13,-2.26311784674e-11,1.25202643423e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36878541721e-10,-1.58728577284e-10,1.49241464189e-10,-1.73507248322e-10,-1.19368783763e-09,3.92369541397e-10
3695000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.70539146641e-12,4.24364016149e-12,0.00500000000584,5.21683837707e-13,-2.26207179922e-11,1.25177983571e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76287538164e-11,-1.01420569862e-10,9.54310814257e-11,-1.10572222902e-10,-7.64354705594e-10,2.51035717613e-10
